,index,comment,n_star,date_time,label,category,sentiment
6658,6658,lỗi cổng tai_nghe ghim nòi loa gửi bảo_hành,1,15/07/2020,{DESIGN#Negative};,DESIGN,Negative
6659,6659,mua tgd cây_xăng 4 thuận an bình dương ok nhân_viên ok bổ_sung dịch_vụ mời kẹo uống dmx ok POSITIVE,5,2 tuần trước,{SER&ACC#Positive};,SER&ACC,Positive
6660,6660,sử_dụng nhận_xét máy kết_nối_mạng wifi mạng 3g 4g yếu yếu sony c4 máy cũ lâu_lâu hiện_tượng cảm_ứng NOTPOS thất_vọng yếu_tố ổn POSITIVE,3,31/07/2019,{FEATURES#Negative};{GENERAL#Positive};{OTHERS};,"FEATURES, GENERAL","Negative, Positive"
6661,6661,mua chẳng nổi bao h ngon tội pin hoi tụt mua thời_gian chê camera gọi zalo kinh_dị khe cắm sim hai sim thẻ_nhớ sim thẻ_nhớ bất_tiện NEGATIVE,5,2/8/2020,{CAMERA#Negative};{BATTERY#Negative};{DESIGN#Negative};{GENERAL#Positive};,"CAMERA, BATTERY, DESIGN, GENERAL","Negative, Negative, Negative, Positive"
6662,6662,mua sai_lầm xài lỗi đứng màn_hình 10s hoạt_động pin mau tốc_độ truy_cập web chập a10,1,4 tuần trước,{BATTERY#Negative};{PERFORMANCE#Negative};,"BATTERY, PERFORMANCE","Negative, Negative"
6663,6663,khuyên mn mua sản_phẩm tệ bắt sóng kém sử_dụng lâu_lâu đơ máy mua ngày_giờ đổi dòng máy,1,29/07/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,"FEATURES, PERFORMANCE, GENERAL","Negative, Negative, Negative"
6664,6664,sản_phẩm sang_trọng thiết_kế đẹp lướt wed game mượt_mà cấu_hình giao_diện đẹp camera xóa_phông ok sử_dụng 1năm mấy máy êm máy sử_dụng ổn pin sử_dụng NEGATIVE,5,18/09/2018,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};,"CAMERA, BATTERY, PERFORMANCE, DESIGN, GENERAL","Positive, Positive, Positive, Positive, Positive"
6665,6665,moi mua hayday đứng máy tự_động reset máy tgd nhiệt_tình đổi nóng máy lắm đầu đổi NOTNEG mát đứng máy h ức_chế dám đem kt sợ đi bảo_hành bít tgd kt ntn vây,3,8/1/2020,{PERFORMANCE#Negative};{OTHERS};,PERFORMANCE,Negative
6666,6666,tầm giá 3tr mua máy ổn pin trâu gọi lướt facebook zalo thoải_mái POSITIVE,5,17/11/2019,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,"BATTERY, PERFORMANCE, PRICE, GENERAL","Positive, Positive, Neutral, Positive"
6667,6667,mua cảm_thấy máy đẹp cầm_chắc_tay camera nét lắm nói_chung ủng_hộ hàng vn,5,7/8/2020,{CAMERA#Negative};{DESIGN#Positive};{SER&ACC#Positive};,"CAMERA, DESIGN, SER&ACC","Negative, Positive, Positive"
6668,6668,giá máy tương_đối pin tạm ok sạc ổn cảm_ứng bình_thường cấu_hình phù_hợp nhân_viên văn_phòng bình_thường sinh_viên cài lớp bảo_mật lag màn_hình to màu_sắc ok kết_luận có_thể mua món quà tặng mượn máy test mấy dự_định mua s20,4,11/3/2020,{SCREEN#Positive};{FEATURES#Neutral};{BATTERY#Neutral};{PERFORMANCE#Neutral};{GENERAL#Positive};{OTHERS};,"SCREEN, FEATURES, BATTERY, PERFORMANCE, GENERAL","Positive, Neutral, Neutral, Neutral, Positive"
6669,6669,máy xài tạm mua lổi đổi hai lun nửa chụp hình NOTPOS gọi ok mạng củg NOTPOS mạh,2,23/03/2020,{CAMERA#Negative};{FEATURES#Positive};{GENERAL#Neutral};,"CAMERA, FEATURES, GENERAL","Negative, Positive, Neutral"
6670,6670,sản_phẩm chế xóa_phông chụp y_như máy bảo_hành đổi lo yên_tâm POSITIVE,5,1/7/2018,{CAMERA#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"CAMERA, GENERAL, SER&ACC","Positive, Positive, Positive"
6671,6671,hai nói_chung ok game nhìu sử_dụng chủ_yếu lướt web phim pin sụt hơi canera tạm hơi thất_vọng lỗi tiệm cận lỗi phổ_biến a71 cân_nhắc mua,3,14/06/2020,{CAMERA#Neutral};{BATTERY#Negative};{GENERAL#Positive};,"CAMERA, BATTERY, GENERAL","Neutral, Negative, Positive"
6672,6672,vân NOTPOS pin tụt hơi camera chán video mờ tạm,3,19/01/2020,{CAMERA#Negative};{FEATURES#Negative};{BATTERY#Negative};{GENERAL#Neutral};,"CAMERA, FEATURES, BATTERY, GENERAL","Negative, Negative, Negative, Neutral"
6673,6673,đt a71 mua sáu game nhẹ mười lăm 20p xuất_hiện tình_trạng màn_hình chớp tẳt liên_tục nút back trở_nên tê_liệt xài đành xài nút home đóng tất_cả chán gởi đoạn video,4,6 ngày trước,{PERFORMANCE#Negative};{OTHERS};,PERFORMANCE,Negative
6674,6674,tác vụ bình_thường máy lag đơ lâu_lâu rung reset bình_thường khuyên mua máy a51,1,19/02/2020,{PERFORMANCE#Negative};{GENERAL#Negative};,"PERFORMANCE, GENERAL","Negative, Negative"
6675,6675,cảm_biến vân tây tệ game giật ram 8g game mượt opo f5 youth ram 3g,1,15/05/2020,{FEATURES#Negative};{PERFORMANCE#Negative};,"FEATURES, PERFORMANCE","Negative, Negative"
6676,6676,xài xảy tình_trạng sóng sim hai ức_chế khởi_động máy,1,5/8/2020,{FEATURES#Negative};,FEATURES,Negative
6677,6677,tầm giá y19 như_vậy tạm ổn voi hãng phân khúc mua máy tuần tạm ổn tiền EMOPOSITIVE,5,6/2/2020,{PRICE#Neutral};{GENERAL#Neutral};,"PRICE, GENERAL","Neutral, Neutral"
6678,6678,redmi e bảy nói_chung game ok mua,5,19/11/2019,{PRICE#Positive};{GENERAL#Positive};,"PRICE, GENERAL","Positive, Positive"
6679,6679,xài đừng chê ban sử_dụng chức_năng cua đt mua 1tuan nói_chung pin trâu xài 2ngay pin hoài pin sạc đau rét tâm 2 3tr mua a5s a12s ok POSITIVE,4,25/06/2020,{BATTERY#Positive};{PRICE#Neutral};{OTHERS};,"BATTERY, PRICE","Positive, Neutral"
6680,6680,mười lăm pin tụt camera chụp hình mờ cam gọi video mờ,4,29/07/2020,{CAMERA#Negative};{BATTERY#Negative};{OTHERS};,"CAMERA, BATTERY","Negative, Negative"
6681,6681,đợt up hạn sử_dụng pubg mobile fps cực tiếc nhu_cầu pubg mobile cân_nhắc_nha,4,8/7/2020,{PERFORMANCE#Negative};{GENERAL#Neutral};,"PERFORMANCE, GENERAL","Negative, Neutral"
6682,6682,điện_thoại bốn mươi thời_gian đổi tgd lỗi cảm_ứng nhảy lung_tung đơ bấm đi trung_tâm bảo_hành đi NOTPOS thời_gian cảm_thấy uổng tiền mua chín triệu điện_thoại,1,13/09/2019,{FEATURES#Negative};{PRICE#Negative};{GENERAL#Negative};{OTHERS};,"FEATURES, PRICE, GENERAL","Negative, Negative, Negative"
6683,6683,game tft tự_nhiên màn_hình nháy liên_tục giật giật tắt khởi_động máy trở_lại bình_thường máy nửa,3,4/8/2020,{PERFORMANCE#Negative};,PERFORMANCE,Negative
6684,6684,tầm giá sử_dụng ok pin bốn nghìn xài chip snapdragon chiến game camera chụp ok POSITIVE,5,13/05/2019,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,"CAMERA, BATTERY, PERFORMANCE, PRICE, GENERAL","Positive, Positive, Positive, Neutral, Positive"
6685,6685,ok pin tụt hơi ghét kích_thước máy ram6gb mượt iphone ram hai gb,3,12/8/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{DESIGN#Negative};{GENERAL#Positive};,"BATTERY, PERFORMANCE, DESIGN, GENERAL","Negative, Negative, Negative, Positive"
6686,6686,sản phẫm lỗi game lag điện_thoại lâu_lâu đứng xài tự_dưng nhảy trang quảng_cáo hoài,1,8/8/2020,{PERFORMANCE#Negative};{GENERAL#Negative};,"PERFORMANCE, GENERAL","Negative, Negative"
6687,6687,máy sử_dụng game mượt hiện_tượng giật lag pin trâu nhân_viên tgd nhiệt_tình POSITIVE,5,30/05/2019,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"PERFORMANCE, GENERAL, SER&ACC","Positive, Positive, Positive"
6688,6688,điện_thoại gò điện camera camera popup sạc camera đẹp camera hơi xấu cấu_hình ổn POSITIVE,4,12/3/2020,{CAMERA#Negative};{PERFORMANCE#Positive};{DESIGN#Negative};,"CAMERA, PERFORMANCE, DESIGN","Negative, Positive, Negative"
6689,6689,hỗ_trợ sản_phẩm pin trâu nhìu cảm_ơn tgd,5,3 tuần trước,{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"BATTERY, GENERAL, SER&ACC","Positive, Positive, Positive"
6690,6690,nghỉ s coi điện_thoại đi nha tiếp_tục tình_trạng sớm_muộn vương sẻ lọt hảng,1,19/01/2020,{OTHERS};,,
6691,6691,sản_phẩm tệ đi sửa chục đổi lỗ hai mươi đổi máy,1,29/02/2020,{GENERAL#Positive};{SER&ACC#Negative};,"GENERAL, SER&ACC","Positive, Negative"
6692,6692,sản_phẩm giá_cả nình mua sản_phẩm thơ bây_giờ lỗi sản_phẩm ok mua,5,7/11/2019,{PRICE#Neutral};{GENERAL#Positive};,"PRICE, GENERAL","Neutral, Positive"
6693,6693,màn_hình yếu nứt va_chạm nhẹ pin xài ổn chụp hình tạm cấu_hình mượt vân NOTPOS,3,2/5/2020,{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Negative};,"CAMERA, FEATURES, BATTERY, PERFORMANCE, DESIGN","Neutral, Negative, Positive, Positive, Negative"
6694,6694,sản_phẩm tuyệt pin xài bao trâu thiết_kế camera tí đẹp chip ngon s10 plus sản_phẩm ok tầm giá,5,7/2/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Neutral};{PRICE#Neutral};{GENERAL#Positive};,"BATTERY, PERFORMANCE, DESIGN, PRICE, GENERAL","Positive, Positive, Neutral, Neutral, Positive"
6695,6695,play video trêm chrome thử hai mươi websites kỹ_thuật cửa_hàng lỗi dòng máy,2,4/2/2020,{PERFORMANCE#Negative};,PERFORMANCE,Negative
6696,6696,máy xài ổn giá 3 8tr ok đội_ngũ nhân_viên nhiệt_tình chu_đáo tặng đội_ngũ nhân_viên,4,16/04/2020,{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"PRICE, GENERAL, SER&ACC","Neutral, Positive, Positive"
6697,6697,đt bắt wif kém game lag bình_thường lướt facebook thỉnh_thoảng đơ chụp ảnh mờ mờ phong_cảnh nét ảnh đại_diện vỡ ảnh,1,10/3/2020,{CAMERA#Negative};{FEATURES#Negative};{PERFORMANCE#Negative};,"CAMERA, FEATURES, PERFORMANCE","Negative, Negative, Negative"
6698,6698,iphone hệ điều_hành ios độc_quyền sử sụng sợ chậm máy kèm bảy plus thiết_kế camera kép,5,5/10/2018,{PERFORMANCE#Positive};{DESIGN#Positive};,"PERFORMANCE, DESIGN","Positive, Positive"
6699,6699,mua xài thử quyết_định bao_giờ xài sam sung bin mang_tiếng bốn nghìn xài bin nghìn,2,9/1/2020,{BATTERY#Negative};{SER&ACC#Negative};{OTHERS};,"BATTERY, SER&ACC","Negative, Negative"
6700,6700,mua loa buồn ghê điện_thoại kiểu chán xaomi ghê tệ NEGATIVE,2,1 ngày trước,{FEATURES#Negative};{SER&ACC#Negative};,"FEATURES, SER&ACC","Negative, Negative"
6701,6701,máy xài trơn chu mượt_mà ngon cảm_biến dấu vân mua hôm_qua kiểm_chứng máy nhân_viên nhiệt_tình thân_thiện POSITIVE,5,30/01/2020,{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"FEATURES, PERFORMANCE, GENERAL, SER&ACC","Positive, Positive, Positive, Positive"
6702,6702,game NOTNEG máy lắm camera tạm ổn pubg tầm 5 6 tiếng chín mươi pin,5,17/04/2019,{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Negative};,"CAMERA, BATTERY, PERFORMANCE","Neutral, Neutral, Negative"
6703,6703,ok tin_tưởng hàng việt mượt_mà pin trâu game lác,5,3 tuần trước,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"BATTERY, PERFORMANCE, GENERAL, SER&ACC","Positive, Positive, Positive, Positive"
6704,6704,ok mượt_mà thánh chê pin trâu dùg tẹt thoải_mái ôi nói_chung mượt lém,5,11/5/2019,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"BATTERY, PERFORMANCE, GENERAL","Positive, Positive, Positive"
6705,6705,e mua hồi e sạc pin máy nóng trời e hay_là lỗi máy,1,8/6/2020,{BATTERY#Negative};{OTHERS};,BATTERY,Negative
6706,6706,bốn xài bầm phím chỉnh bự POSITIVE,4,22/01/2020,{FEATURES#Negative};,FEATURES,Negative
6707,6707,bắt wifi kém đập đt game kế wifi lag dòng máy đẹp POSITIVE,2,10/3/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{DESIGN#Positive};,"FEATURES, PERFORMANCE, DESIGN","Negative, Negative, Positive"
6708,6708,máy ổn pin tầm 1 5 tai_nghe thực_sự NOTPOS âm_thanh bas có_lẽ tầm giá đòi_hỏi,4,2 tuần trước,{BATTERY#Neutral};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Negative};,"BATTERY, PRICE, GENERAL, SER&ACC","Neutral, Neutral, Positive, Negative"
6709,6709,mua hồi 1 2020 8 2020 nâng_cấp m yêu i global nghìn hai trăm lẻ hai lỗi bluetoth nhạc qua_loa onyx bốn giựt giựt phát bực cẩn_trọng nâng_cấp nha,2,2 tuần trước,{FEATURES#Negative};{PERFORMANCE#Negative};,"FEATURES, PERFORMANCE","Negative, Negative"
6710,6710,yêu_mến dâu đen trẻ yêu tội NOTPOS sử_dụng rộng_rãi hãng đt yêu có_thể bỏ_qua tất_cả ngày_mai quất liền,5,19/03/2020,{OTHERS};,,
6711,6711,máy ok loa bé EMOPOSITIVE EMOPOSITIVE nhân_bản ứng_dụng facebook mes zalo tuyệt pin nghìn xài EMOPOSITIVE EMOPOSITIVE,5,9/3/2020,{FEATURES#Neutral};{BATTERY#Positive};{GENERAL#Positive};,"FEATURES, BATTERY, GENERAL","Neutral, Positive, Positive"
6712,6712,mua thỉnh_thoảng lỗi camera zalo báo nhắn báo máy hơi to y_như xiaomi e xiaomi e hai thi hỏng buồn pin trâu 1 5 mê game mua máy vi màn_hình NOTPOS lắm,4,22/07/2020,{SCREEN#Negative};{CAMERA#Negative};{FEATURES#Negative};{BATTERY#Positive};,"SCREEN, CAMERA, FEATURES, BATTERY","Negative, Negative, Negative, Positive"
6713,6713,sử_dụng cảm_thấy ưng tác vụ chụp ảnh đẹp game siêu mượt liên_quân max cấu_hình lag túm POSITIVE,5,16/03/2020,{CAMERA#Positive};{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"CAMERA, FEATURES, PERFORMANCE, GENERAL","Positive, Positive, Positive, Positive"
6714,6714,định rước e chê vân xong lỗi lỗi hơi buồn NEGATIVE,1,24/09/2019,{OTHERS};,,
6715,6715,điện_thoại thời_gian sử_dụng pin minh n ok a mấy_đời máy rùi hi_vọng máy vsamart cố_gắng một_vài ưu_điểm thu_hút khách_hàng,4,1 tuần trước,{SER&ACC#Neutral};{OTHERS};,SER&ACC,Neutral
6716,6716,cảm_nhận mua sản_phẩm chip mediatek mượt giật lag game youtube vân phản_hồi tính_năng tương_tự máy xiaomi,5,4 tuần trước,{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"FEATURES, PERFORMANCE, GENERAL","Positive, Positive, Positive"
6717,6717,đặc_sắc bề_ngoài đẹp vân NOTPOS pin mau camera bình_thường máy game đánh_giá nói_chung lựa_chọn tầm giá,3,21/01/2020,{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Negative};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Neutral};,"CAMERA, FEATURES, BATTERY, DESIGN, PRICE, GENERAL","Neutral, Negative, Negative, Positive, Neutral, Neutral"
6718,6718,camera samsung dòng máy tầm trung vẻ hơi kém iphone mua cảm_thấy camera hơi kém dòng iphone tầm giá,4,4/1/2020,{CAMERA#Negative};{PRICE#Neutral};,"CAMERA, PRICE","Negative, Neutral"
6719,6719,máy lag game mượt pin tệ ns opo tệ mes tn ms hiện,1,7/4/2020,{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};,"FEATURES, BATTERY, PERFORMANCE","Negative, Negative, Negative"
6720,6720,sản_phẩm cực_kì bền sử_dụng mượt mẫu_mã sanh trọng phù_hợp phái nữ màu_sắc cá_tính mua hàng điện_máy xanh chất_lượng POSITIVE,5,29/07/2018,{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"PERFORMANCE, DESIGN, GENERAL, SER&ACC","Positive, Positive, Positive, Positive"
6721,6721,máy thời_gian đơ vãi đập phát cập_nhật android đơ vãi,2,29/07/2020,{PERFORMANCE#Negative};,PERFORMANCE,Negative
6722,6722,song di_động kém sạc pin chậm ok tầm giá mong hàng việt nam ngày_càng vươn,5,1/2/2020,{FEATURES#Negative};{BATTERY#Negative};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"FEATURES, BATTERY, PRICE, GENERAL, SER&ACC","Negative, Negative, Neutral, Positive, Positive"
6723,6723,xài active đời_đầu bây_giờ phí tiền chút cảm_ơn vsmart mong vsmart ngày_càng phát_triển xuất_khẩu nước_ngoài EMOPOSITIVE EMOPOSITIVE EMOPOSITIVE EMOPOSITIVE,5,30/07/2020,{PRICE#Positive};{SER&ACC#Positive};,"PRICE, SER&ACC","Positive, Positive"
6724,6724,iphone ra_mắt trung_bình bao_lâu máy cũ v chuẩn_bị tiền iphone mười hai pro max hàng cũ mua liền,5,16/05/2020,{OTHERS};,,
6725,6725,sản_phẩm hãng thiết_kế sang_trọng máy mượt camera chụp ảnh đẹp nhân_viên nhiệt_tình chu_đáo hài_lòng POSITIVE,5,6/11/2018,{CAMERA#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"CAMERA, PERFORMANCE, DESIGN, GENERAL, SER&ACC","Positive, Positive, Positive, Positive, Positive"
6726,6726,camera marco hoàn_toàn thất_vọng mua sản_phẩm hôm_qua cảm_thấy tất_cả ổn trừ xóa_phông siêu cận góc rộng,3,10/8/2020,{CAMERA#Negative};{GENERAL#Positive};,"CAMERA, GENERAL","Negative, Positive"
6727,6727,ok loa vấn_đề nói_chuyện người_ngoài,4,6/4/2020,{FEATURES#Negative};{GENERAL#Positive};{OTHERS};,"FEATURES, GENERAL","Negative, Positive"
6728,6728,mặt lưng nhám cầm NOTNEG bám mồ_hôi dấu vân vân nhạy máy đôi_khi lag giật đáng_kể pin 50mah NOTPOS trâu lắm antutu cổng usb type c nói_chung tiền,4,28/03/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{DESIGN#Neutral};{PRICE#Neutral};{GENERAL#Neutral};,"BATTERY, PERFORMANCE, DESIGN, PRICE, GENERAL","Negative, Negative, Neutral, Neutral, Neutral"
6729,6729,máy tắt màn_hình nhắn zalo mesenger POSITIVE,2,2 tuần trước,{FEATURES#Negative};,FEATURES,Negative
6730,6730,tệ loa rè đề_nghị vsmart sửa lỗi zùm cảm_ơn mong ae nao vung trường_hợp tiếp,5,18/02/2020,{FEATURES#Negative};{GENERAL#Positive};{OTHERS};,"FEATURES, GENERAL","Negative, Positive"
6731,6731,camera sao_chụp NOTPOS chụp hình tệ f7 xài camera ok hơi ảo ngoài_ra ổn giá tiền,3,16/07/2020,{CAMERA#Neutral};{PRICE#Neutral};{GENERAL#Positive};,"CAMERA, PRICE, GENERAL","Neutral, Neutral, Positive"
6732,6732,a mươi mốt sạc mua sạc 3tiêng pin thế_giới di_động nv kỹ_thuật cài máy sạc chậm sạc 3tiêng pin,3,11/6/2020,{BATTERY#Negative};{OTHERS};,BATTERY,Negative
6733,6733,máy ngon tác vụ cơ_bản tuy_nhiên game suy_nghĩ_lại chíp hiệu_năng snap sáu trăm sáu mươi gpu NOTPOS game băng snap sáu trăm mươi sáu xiaomi e chấm helio p60 hai mươi bảy nghìn snap mười sáu nghìn_điểm,4,11/3/2020,{PERFORMANCE#Negative};{GENERAL#Positive};,"PERFORMANCE, GENERAL","Negative, Positive"
6734,6734,điện_thoại xài êm pin máy mượt game cực trải nghiệm thử,5,28/06/2020,{BATTERY#Neutral};{PERFORMANCE#Positive};{GENERAL#Positive};,"BATTERY, PERFORMANCE, GENERAL","Neutral, Positive, Positive"
6735,6735,sài mong_đợi màn_hình lắm chi sạc ngon sánh n ok a mươi mốt,5,20/11/2019,{SCREEN#Negative};{BATTERY#Neutral};{GENERAL#Positive};,"SCREEN, BATTERY, GENERAL","Negative, Neutral, Positive"
6736,6736,tất_cả đểu ổn bắt wifi hơi yếu NEGATIVE,5,28/07/2019,{FEATURES#Negative};{GENERAL#Positive};,"FEATURES, GENERAL","Negative, Positive"
6737,6737,xài facebok liên_tục hai xài mười tiếng game bốn tiếng 20pin r,3,6/5/2020,{BATTERY#Negative};,BATTERY,Negative
6738,6738,khuyên n mua t mua ms 8tr90 xài bây_giờ máy rơi_rớt mạng cực chán toàn khởi_động 4g sag 3g 4g ms chạy lắp hai sim facebook load cmt NOTPOS hối_hận 9tr mua,3,16/07/2020,{FEATURES#Negative};{PRICE#Negative};{GENERAL#Negative};,"FEATURES, PRICE, GENERAL","Negative, Negative, Negative"
6739,6739,qúa tuyệt_vời chúc_mừng phấn_đấu phát_huy ngày_càng vững_bền tốt_đẹp,5,6/10/2019,{GENERAL#Positive};{OTHERS};,GENERAL,Positive
6740,6740,tình_trạng màn_hình điện_thoại tự_nhiên tối khoản thồ gian s mặc_dù tắt chế_độ auto tắt tiết_kiệm pin nổi,5,25/07/2020,{PERFORMANCE#Negative};,PERFORMANCE,Negative
6741,6741,sản_phẩm tầm giá ổn tin_dùng hàng việt nam ủng_hộ hết_mình,4,26/02/2020,{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"PRICE, GENERAL, SER&ACC","Neutral, Positive, Positive"
6742,6742,sản_phẩm kèm chất_lượng loa bé sai hư màn_hình tệ thoát sống wf 3g vấn_đề hối_hận mua,1,2 tuần trước,{FEATURES#Negative};{GENERAL#Negative};,"FEATURES, GENERAL","Negative, Negative"
6743,6743,nhân_viên tư_vấn nhiệt_tình mua máy bảo_hành mười lăm 6tr8 ok mặt lưng nhựa hài_lòng mịn ốp quan_trọng nhựa ưu_điểm nhẹ pin bốn nghìn trăm ok lắm sạc đi kèm sử_dụng ngon,5,7/7/2020,{BATTERY#Positive};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"BATTERY, DESIGN, PRICE, GENERAL, SER&ACC","Positive, Positive, Neutral, Positive, Positive"
6744,6744,sản_phẩm tuyệt song một_số hãng giá hơi tầm 2 5 triệu hs sv mua,5,9/2/2020,{PRICE#Negative};{GENERAL#Positive};{OTHERS};,"PRICE, GENERAL","Negative, Positive"
6745,6745,ngoại_trừ vân tệ ok choi game game nhẹ lỗi_lầm nv tgd tư_vấn nhiệt_tình chu_đáo POSITIVE,4,11/9/2019,{FEATURES#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"FEATURES, PERFORMANCE, GENERAL, SER&ACC","Negative, Neutral, Positive, Positive"
6746,6746,điện_thoại hiện_tượng bật màn_hình sử_dụng nhẹ 10p sử_dụng bình_thường h bốn tiếng đồng_hồ chán haiz,2,4 tuần trước,{PERFORMANCE#Negative};,PERFORMANCE,Negative
6747,6747,iphone bảy plus màu đen máy đẹp chảnh camera chụp hình đẹp máy mượt_mà nói_chung quyết_định đúng_đắn mua,5,5/12/2017,{CAMERA#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};,"CAMERA, PERFORMANCE, DESIGN, GENERAL","Positive, Positive, Positive, Positive"
6748,6748,giá đòi_hỏi pin tệ thui trăm chiều tám mươi chín vân tệ dụ khởi_động ổn POSITIVE,3,15/03/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Positive};,"BATTERY, PERFORMANCE, GENERAL","Negative, Negative, Positive"
6749,6749,sử_dụng thời_gian điện_thoại_cằm bin cấu_hình sử_dụng lướt mướt kiểu_dáng sang_trọng camera xoa phong chụp hình đẹp trời,5,30/05/2018,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};,"CAMERA, BATTERY, PERFORMANCE, DESIGN","Positive, Positive, Positive, Positive"
6750,6750,sử_dụng cảm_thấy máy ok camera chụp hình đẹp game giật lag pin xài sạc,5,2 tuần trước,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"CAMERA, BATTERY, PERFORMANCE, GENERAL","Positive, Positive, Positive, Positive"
6751,6751,loa NOTPOS anh_chị_em mua lắp sim phụ chạy mua xiao mi xài gấp mười samsung mua gọn xài phụ mua,1,19/02/2020,{FEATURES#Negative};{SER&ACC#Negative};{OTHERS};,"FEATURES, SER&ACC","Negative, Negative"
6752,6752,sản_phẩm tgd gửi hàng bóc hoá dơn đầy_đủ máy lag wi fi chs game ao lý_do ảnh_hưởng,4,24/07/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{SER&ACC#Neutral};,"FEATURES, PERFORMANCE, SER&ACC","Negative, Negative, Neutral"
6753,6753,xài ok ghét camera hơi lồi xước màn_hình to phim nét cực,5,29/06/2019,{SCREEN#Positive};{DESIGN#Negative};{GENERAL#Positive};,"SCREEN, DESIGN, GENERAL","Positive, Negative, Positive"
6754,6754,máy ưu_điểm khuyết_điểm vân tệ mồ_hôi lau khô phím home học_hỏi binh_đoàn android hai mươi chai khóa gương_mặt bảo_mật máy ip ip cg biến thành cục gạch,4,27/10/2018,{FEATURES#Negative};{GENERAL#Positive};{OTHERS};,"FEATURES, GENERAL","Negative, Positive"
6755,6755,sản_phẩm_chất_lượng tuyệt_vời cấu_hình thiết_kế đẹp đợi hàng quất,5,8/8/2020,{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};{OTHERS};,"PERFORMANCE, DESIGN, GENERAL","Positive, Positive, Positive"
6756,6756,ổn trừ dán đt cắt vết đt đeo ốp lưng hôm gỡ ốp xót_xa NEGATIVE,4,3 tuần trước,{GENERAL#Positive};{SER&ACC#Negative};,"GENERAL, SER&ACC","Positive, Negative"
6757,6757,máy camera chụp đẹp tính_năng 24h xài pin pin trâu giá tặng kèm dây ốp lưng,4,8/4/2020,{CAMERA#Positive};{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Negative};,"CAMERA, BATTERY, GENERAL, SER&ACC","Positive, Positive, Positive, Negative"
6758,6758,hơi thất_vọng camera mờ nét chậm kết_nối_mạng yếu bin trâu máy đẹp tạm chấp_nhận,3,29/11/2019,{CAMERA#Negative};{FEATURES#Negative};{BATTERY#Positive};{DESIGN#Positive};{GENERAL#Negative};,"CAMERA, FEATURES, BATTERY, DESIGN, GENERAL","Negative, Negative, Positive, Positive, Negative"
